title,author,img_bytes,genre
1984,George Orwell,,
Adventures of Huckleberry Finn,Mark Twain,,
The Adventures of Sherlock Holmes,Arthur Conan Doyle,,
The Alchemist,Paulo Coelho,,
The Aleph and Other Stories,Jorge Luis Borges,,
Animal Farm,George Orwell,,
Aesop's Fables,Aesop,,
Alice's Adventures in Wonderland ,Lewis Carroll,,
Anna Karenina ,Leo Tolstoy,,
Anne of Green Gables,L.M. Montgomery,,
As I Lay Dying,William Faulkner,,
Beloved,Toni Morrison,,
The Book Thief,Markus Zusak,,
Brave New World,Aldous Huxley,,
The Brothers Karamazov,Fyodor Dostoevsky,,
Catch-22 ,Joseph Heller,,
The Catcher in the Rye,J.D. Salinger,,
Charlie and the Chocolate Factory,Roald Dahl,,
Charlotte's Web,E. B White,,
The Call of the Wild ,Jack London,,
A Clockwork Orange,Anthony Burgess,,
The Code of the Woosters,P.G. Wodehouse,,
The Collected of Edgar Allan Po,Edgar Allan Poe,,
The Color Purple: A Novel,Alice Walker,,
Coraline,Neil Gaiman,,
The Count of Monte Cristo,Alexandre Dumas,,
Crime and Punishment,Fyodor Dostoyevsky,,
The Curious Incident of the Dog in the Night-Time,Mark Haddon,,
The Death of Artemio Cruz ,Carlos Fuentes,,
Diary of a Madman and Other Stories ,Lu Xun,,
Anne Frank: The Diary of a Young Girl,Anne Frank,,
The Divine Comedy,Dante Alighieri,,
Don Quixote,Miguel de Cervantes Saavedra,,
Dracula,Bram Stoker,,
Emma,Jane Austen,,
Fahrenheit 451,Ray Bradbury,,
Frankenstein,Mary Shelley,,
The Giver ,Lois Lowry,,
The Golden Compass,Philip Pullman,,
Goodnight Moon,Margaret Wise Brown,,
Great Expectations,Charles Dickens,,
The Great Gatsby,F. Scott Fitzgerald,,
Grimm's Fairy Tales,Jacob and Wilhelm Grimm,,
Gulliver's Travels,Jonathan Swift,,
Hamlet,William Shakespeare,,
The Handmaid's Tale,Margaret Atwood,,
Harry Potter,J.K. Rowling,,
Heart of Darkness,Joseph Conrad,,
"Here's to You, Jesusa!",Elena Poniatowska,,
The Hitchhiker's Guide to the Galaxy,Douglas Adams,,
The Hobbit,J. R. R. Tolkien,,
Holes ,Louis Sachar,,
Hopscotch,Julio Cortázar,,
The Iliad,Homer,,
Invisible Man,Ralph Ellison,,
Jane Eyre ,Charlotte Brontë,,
Journey to the Center of the Earth,Jules Verne,,
Les Misérables,Victor Hugo,,
 Life of Pi,Yann Martel,,
"The Lion, the Witch and the Wardrobe ",C. S. Lewis,,
The Little Prince,Antoine de Saint-Exupéry,,
Little Women,Louisa May Alcott,,
Lolita,Vladimir Nabokov,,
The Lord of the Rings ,J.R.R. Tolkien,,
Love in the Time of Cholera,Gabriel Garcia Marquez,,
Madame Bovary,Gustave Flaubert,,
Metamorphosis,Franz Kafka,,
Moby-Dick,Herman Melville,,
Mrs. Dalloway,Virginia Woolf,,
Murder on the Orient Express ,Agatha Christie,,
Of Mice and Men,John Steinbeck,,
The Old Man and the Sea,Ernest Hemingway,,
Oliver Twist ,Charles Dickens,,
One Hundred Years of Solitude,Gabriel Garcia Marquez,,
One Thousand and One Nights ,Unknown,,
A Passage to India,E.M. Forster,,
Pedro Páramo ,Juan Rulfo,,
The Phantom Tollbooth,Norton Juster,,
Pippi Longstocking,Astrid Lindgren,,
Pride and Prejudice,Jane Austen,,
The Remains of the Day ,Kazuo Ishiguro,,
Romeo and Juliet,William Shakespeare,,
A Series of Unfortunate Events,Lemony Snicket,,
The Shadow of the Wind,Carlos Ruiz Zafón,,
Slaughterhouse-Five,Kurt Vonnegut,,
The Sound of the Mountain,Yasunari Kawabata,,
The Stranger,Albert Camus,,
The Tale of Genji,Murasaki Shikibu,,
Things Fall Apart,Chinua Achebe,,
The Three Musketeers ,Alexandre Dumas,,
To Kill a Mockingbird,Harper Lee,,
Treasure Island ,Robert Louis Stevenson,,
Ulysses ,James Joyce,,
War and Peace ,Leo Tolstoy,,
Watership Down,Richard Adams,,
Winnie-the-Pooh,A. A. Milne,,
The Woman in White,Wilkie Collins,,
The Wonderful Wizard of Oz ,L. Frank Baum,,
A Wrinkle in Time,Madeleine L'Engle,,
Wuthering Heights,Emily Brontë,,
